catId,catName
336399,All Other Motor Vehicle Parts Manufacturing
522298,All Other Nondepository Credit Intermediation
212399,All Other Nonmetallic Mineral Mining
621498,All Other Outpatient Care Centers
812990,All Other Personal Services
324199,All Other Petroleum and Coal Products Manufacturing
486990,All Other Pipeline Transportation
326199,All Other Plastics Product Manufacturing
541990,"All Other Professional, Scientific, and Technical Services"
511199,All Other Publishers
326299,All Other Rubber Product Manufacturing
445299,All Other Specialty Food Stores
238990,All Other Specialty Trade Contractors
488999,All Other Support Activities for Transportation
561990,All Other Support Services
517919,All Other Telecommunications
485999,All Other Transit and Ground Passenger Transportation
336999,All Other Transportation Equipment Manufacturing
561599,All Other Travel Arrangement and Reservation Services
721199,All Other Traveler Accommodation
331311,Alumina Refining
331521,Aluminum Die-Casting Foundries
331316,Aluminum Extruded Product Manufacturing
331524,Aluminum Foundries (except Die-Casting)
331315,"Aluminum Sheet, Plate, and Foil Manufacturing"
621910,Ambulance Services
921150,American Indian and Alaska Native Tribal Governments
332993,Ammunition (except Small Arms) Manufacturing
713110,Amusement and Theme Parks
713120,Amusement Arcades
334516,Analytical Laboratory Instrument Manufacturing
311611,Animal (except Poultry) Slaughtering
212113,Anthracite Mining
112910,Apiculture
111331,Apple Orchards
811412,Appliance Repair and Maintenance
611513,Apprenticeship Training
541310,Architectural Services
561613,Armored Car Services
453920,Art Dealers
324121,Asphalt Paving Mixture and Block Manufacturing
324122,Asphalt Shingle and Coating Materials Manufacturing
334310,Audio and Video Equipment Manufacturing
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use"
333311,Automatic Vending Machine Manufacturing
423110,Automobile and Other Motor Vehicle Merchant Wholesalers
611692,Automobile Driving Schools
336111,Automobile Manufacturing
811121,"Automotive Body, Paint, and Interior Repair and Maintenance"
811112,Automotive Exhaust System Repair
811122,Automotive Glass Replacement Shops
811191,Automotive Oil Change and Lubrication Shops
441310,Automotive Parts and Accessories Stores
811113,Automotive Transmission Repair
445291,Baked Goods Stores
332991,Ball and Roller Bearing Manufacturing
812111,Barber Shops
334412,Bare Printed Circuit Board Manufacturing
812112,Beauty Salons
721191,Bed-and-Breakfast Inns
112111,Beef Cattle Ranching and Farming
424810,Beer and Ale Merchant Wholesalers
445310,"Beer, Wine, and Liquor Stores"
311313,Beet Sugar Manufacturing
111334,Berry (except Strawberry) Farming
325414,Biological Product (except Diagnostic) Manufacturing
212111,Bituminous Coal and Lignite Surface Mining
212112,Bituminous Coal Underground Mining
323118,"Blankbook, Looseleaf Binders, and Devices Manufacturing"
337920,Blind and Shade Manufacturing
621991,Blood and Organ Banks
336612,Boat Building
441222,Boat Dealers
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
511130,Book Publishers
451211,Book Stores
424920,"Book, Periodical, and Newspaper Merchant Wholesalers"
323117,Books Printing
312112,Bottled Water Manufacturing
713950,Bowling Centers
311230,Breakfast Cereal Manufacturing
312120,Breweries
327121,Brick and Structural Clay Tile Manufacturing
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
313311,Broadwoven Fabric Finishing Mills
313210,Broadwoven Fabric Mills
112320,Broilers and Other Meat Type Chicken Production
339994,"Broom, Brush, and Mop Manufacturing"
541350,Building Inspection Services
339995,Burial Casket Manufacturing
485113,Bus and Other Motor Vehicle Transit Systems
611410,Business and Secretarial Schools
813910,Business Associations
425110,Business to Business Electronic Markets
515210,Cable and Other Subscription Programming
722212,"Cafeterias, Grill Buffets, and Buffets"
443130,Camera and Photographic Supplies Stores
311312,Cane Sugar Refining
314912,Canvas and Related Product Mills
811192,Car Washes
335991,Carbon and Graphite Product Manufacturing
325182,Carbon Black Manufacturing
339944,Carbon Paper and Inked Ribbon Manufacturing
336311,"Carburetor, Piston, Piston Ring, and Valve Manufacturing"
314110,Carpet and Rug Mills
561740,Carpet and Upholstery Cleaning Services
721120,Casino Hotels
713210,Casinos (except Casino Hotels)
722320,Caterers
112112,Cattle Feedlots
325221,Cellulosic Organic Fiber Manufacturing
327310,Cement Manufacturing
812220,Cemeteries and Crematories
327122,Ceramic Wall and Floor Tile Manufacturing
485510,Charter Bus Industry
311513,Cheese Manufacturing
112310,Chicken Egg Production
624110,Child and Youth Services
624410,Child Day Care Services
448130,Children's and Infants' Clothing Stores
311320,Chocolate and Confectionery Manufacturing from Cacao Beans
312221,Cigarette Manufacturing
111320,Citrus (except Orange) Groves
813410,Civic and Social Organizations
524291,Claims Adjusting
212325,Clay and Ceramic and Refractory Minerals Mining
327124,Clay Refractory Manufacturing
448150,Clothing Accessories Stores
423520,Coal and Other Mineral and Ore Merchant Wholesalers
483113,Coastal and Great Lakes Freight Transportation
483114,Coastal and Great Lakes Passenger Transportation
322221,Coated and Laminated Packaging Paper Manufacturing
322222,Coated and Laminated Paper Manufacturing
322223,Coated Paper Bag and Pouch Manufacturing
311920,Coffee and Tea Manufacturing
812310,Coin-Operated Laundries and Drycleaners
561440,Collection Agencies
611310,"Colleges, Universities, and Professional Schools"
532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing"
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Main
236220,Commercial and Institutional Building Construction
311812,Commercial Bakeries
522110,Commercial Banking
323112,Commercial Flexographic Printing
323111,Commercial Gravure Printing
333312,"Commercial Laundry, Drycleaning, and Pressing Machine Manufacturing"
323110,Commercial Lithographic Printing
541922,Commercial Photography
323113,Commercial Screen Printing
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
523140,Commodity Contracts Brokerage
523130,Commodity Contracts Dealing
811213,Communication Equipment Repair and Maintenance
624210,Community Food Services
485112,Commuter Rail Systems
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
811212,Computer and Office Machine Repair and Maintenance
443120,Computer and Software Stores
541513,Computer Facilities Management Services
334112,Computer Storage Device Manufacturing
541512,Computer Systems Design Services
334113,Computer Terminal Manufacturing
611420,Computer Training
327331,Concrete Block and Brick Manufacturing
327332,Concrete Pipe Manufacturing
445292,Confectionery and Nut Stores
311330,Confectionery Manufacturing from Purchased Chocolate
424450,Confectionery Merchant Wholesalers
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
333120,Construction Machinery Manufacturing
212321,Construction Sand and Gravel Mining
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing"
532210,Consumer Electronics and Appliances Rental
811211,Consumer Electronics Repair and Maintenance
522291,Consumer Lending
623311,Continuing Care Retirement Communities
445120,Convenience Stores
561920,Convention and Trade Show Organizers
561591,Convention and Visitors Bureaus
333922,Conveyor and Conveying Equipment Manufacturing
311821,Cookie and Cracker Manufacturing
331525,Copper Foundries (except Die-Casting)
212234,Copper Ore and Nickel Ore Mining
331421,"Copper Rolling, Drawing, and Extruding"
331422,Copper Wire (except Mechanical) Drawing
111150,Corn Farming
551114,"Corporate, Subsidiary, and Regional Managing Offices"
922140,Correctional Institutions
322211,Corrugated and Solid Fiber Box Manufacturing
446120,"Cosmetics, Beauty Supplies, and Perfume Stores"
611511,Cosmetology and Barber Schools
339914,Costume Jewelry and Novelty Manufacturing
111920,Cotton Farming
115111,Cotton Ginning
492110,Couriers and Express Delivery Services
561492,Court Reporting and Stenotype Services
922110,Courts
311512,Creamery Butter Manufacturing
561450,Credit Bureaus
522210,Credit Card Issuing
522130,Credit Unions
115113,"Crop Harvesting, Primarily by Machine"
332115,Crown and Closure Manufacturing
211111,Crude Petroleum and Natural Gas Extraction
212313,Crushed and Broken Granite Mining and Quarrying
212312,Crushed and Broken Limestone Mining and Quarrying
335931,Current-Carrying Wiring Device Manufacturing
314121,Curtain and Drapery Mills
337212,Custom Architectural Woodwork and Millwork Manufacturing
325991,Custom Compounding of Purchased Resins
541511,Custom Computer Programming Services
332114,Custom Roll Forming
321912,"Cut Stock, Resawing Lumber, and Planing"
327991,Cut Stone and Stone Product Manufacturing
332211,Cutlery and Flatware (except Precious) Manufacturing
333515,Cutting Tool and Machine Tool Accessory Manufacturing
325192,Cyclic Crude and Intermediate Manufacturing
112120,Dairy Cattle and Milk Production
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers
711120,Dance Companies
518210,"Data Processing, Hosting, and Related Services"
483111,Deep Sea Freight Transportation
483112,Deep Sea Passenger Transportation
339114,Dental Equipment and Supplies Manufacturing
339116,Dental Laboratories
452111,Department Stores (except Discount Department Stores)
621512,Diagnostic Imaging Centers
322231,Die-Cut Paper and Paperboard Office Supplies Manufacturing
812191,Diet and Weight Reducing Centers
323115,Digital Printing
212311,Dimension Stone Mining and Quarrying
524114,Direct Health and Medical Insurance Carriers
524113,Direct Life Insurance Carriers
541860,Direct Mail Advertising
524126,Direct Property and Casualty Insurance Carriers
524127,Direct Title Insurance Carriers
511140,Directory and Mailing List Publishers
452112,Discount Department Stores
541850,Display Advertising
312140,Distilleries
561410,Document Preparation Services
311111,Dog and Cat Food Manufacturing
339931,Doll and Stuffed Toy Manufacturing
541340,Drafting Services
311423,Dried and Dehydrated Food Manufacturing
213111,Drilling Oil and Gas Wells
722410,Drinking Places (Alcoholic Beverages)
512132,Drive-In Motion Picture Theaters
424210,Drugs and Druggists' Sundries Merchant Wholesalers
311823,Dry Pasta Manufacturing
111130,Dry Pea and Bean Farming
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
812320,Drycleaning and Laundry Services (except Coin-Operated)
238310,Drywall and Insulation Contractors
112130,Dual-Purpose Cattle Ranching and Farming
611710,Educational Support Services
221121,Electric Bulk Power Transmission and Control
335211,Electric Housewares and Household Fan Manufacturing
335110,Electric Lamp Bulb and Part Manufacturing
221122,Electric Power Distribution
423620,"Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers"
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant  Wholesalers"
238210,Electrical Contractors and Other Wiring Installation Contractors
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing
331112,Electrometallurgical Ferroalloy Product Manufacturing
334411,Electron Tube Manufacturing
454112,Electronic Auctions
334414,Electronic Capacitor Manufacturing
334416,"Electronic Coil, Transformer, and Other Inductor Manufacturing"
334111,Electronic Computer Manufacturing
334417,Electronic Connector Manufacturing
334415,Electronic Resistor Manufacturing
454111,Electronic Shopping
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
611110,Elementary and Secondary Schools
333921,Elevator and Moving Stairway Manufacturing
624230,Emergency and Other Relief Services
561311,Employment Placement Agencies
332998,Enameled Iron and Metal Sanitary Ware Manufacturing
321213,Engineered Wood Member (except Truss) Manufacturing
541330,Engineering Services
322232,Envelope Manufacturing
813312,"Environment, Conservation and Wildlife Organizations"
541620,Environmental Consulting Services
325193,Ethyl Alcohol Manufacturing
611691,Exam Preparation and Tutoring
921140,"Executive and Legislative Offices, Combined"
921110,Executive Offices
561312,Executive Search Services
325920,Explosives Manufacturing
561710,Exterminating and Pest Control Services
313320,Fabric Coating Mills
332996,Fabricated Pipe and Pipe Fitting Manufacturing
332312,Fabricated Structural Metal Manufacturing
561210,Facilities Support Services
448140,Family Clothing Stores
621410,Family Planning Centers
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
115115,Farm Labor Contractors and Crew Leaders
333111,Farm Machinery and Equipment Manufacturing
115116,Farm Management Services
493130,Farm Product Warehousing and Storage
424910,Farm Supplies Merchant Wholesalers
339993,"Fastener, Button, Needle, and Pin Manufacturing"
311225,Fats and Oils Refining and Blending
325314,Fertilizer (Mixing Only) Manufacturing
322214,"Fiber Can, Tube, Drum, and Similar Products Manufacturing"
335921,Fiber Optic Cable Manufacturing
522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities"
611610,Fine Arts Schools
112511,Finfish Farming and Fish Hatcheries
114111,Finfish Fishing
238350,Finish Carpentry Contractors
922160,Fire Protection
445220,Fish and Seafood Markets
424460,Fish and Seafood Merchant Wholesalers
713940,Fitness and Recreational Sports Centers
327211,Flat Glass Manufacturing
311930,Flavoring Syrup and Concentrate Manufacturing
611512,Flight Training
442210,Floor Covering Stores
238330,Flooring Contractors
111422,Floriculture Production
453110,Florists
311211,Flour Milling
311822,Flour Mixes and Dough Manufacturing from Purchased Flour
424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers"
311511,Fluid Milk Manufacturing
333995,Fluid Power Cylinder and Actuator Manufacturing
333996,Fluid Power Pump and Motor Manufacturing
332912,Fluid Power Valve and Hose Fitting Manufacturing
322212,Folding Paperboard Box Manufacturing
446191,Food (Health) Supplement Stores
333294,Food Product Machinery Manufacturing
722310,Food Service Contractors
811430,Footwear and Leather Goods Repair
424340,Footwear Merchant Wholesalers
113210,Forest Nurseries and Gathering of Forest Products
532220,Formal Wear and Costume Rental
221112,Fossil Fuel Electric Power Generation
238130,Framing Contractors
621493,Freestanding Ambulatory Surgical and Emergency Centers
488510,Freight Transportation Arrangement
311712,Fresh and Frozen Seafood Processing
424480,Fresh Fruit and Vegetable Merchant Wholesalers
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
311412,Frozen Specialty Food Manufacturing
111336,Fruit and Tree Nut Combination Farming
311421,Fruit and Vegetable Canning
445230,Fruit and Vegetable Markets
722110,Full-Service Restaurants
812210,Funeral Homes and Funeral Services
315292,Fur and Leather Apparel Manufacturing
112930,Fur-Bearing Animal and Rabbit Production
423210,Furniture Merchant Wholesalers
442110,Furniture Stores
339932,"Game, Toy, and Children's Vehicle Manufacturing"
339991,"Gasket, Packing, and Sealing Device Manufacturing"
336312,Gasoline Engine and Engine Parts Manufacturing
447110,Gasoline Stations with Convenience Stores
811111,General Automotive Repair
484110,"General Freight Trucking, Local"
484122,"General Freight Trucking, Long-Distance, Less Than Truckload"
484121,"General Freight Trucking, Long-Distance, Truckload"
424410,General Line Grocery Merchant Wholesalers
622110,General Medical and Surgical Hospitals
532310,General Rental Centers
493110,General Warehousing and Storage
541360,Geophysical Surveying and Mapping Services
453220,"Gift, Novelty, and Souvenir Stores"
238150,Glass and Glazing Contractors
327213,Glass Container Manufacturing
327215,Glass Product Manufacturing Made of Purchased Glass
315992,Glove and Mitten Manufacturing
112420,Goat Farming
212221,Gold Ore Mining
713910,Golf Courses and Country Clubs
424510,Grain and Field Bean Merchant Wholesalers
813211,Grantmaking Foundations
111332,Grape Vineyards
541430,Graphic Design Services
511191,Greeting Card Publishers
327992,Ground or Treated Mineral and Earth Manufacturing
336414,Guided Missile and Space Vehicle Manufacturing
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing
325191,Gum and Wood Chemical Manufacturing
327420,Gypsum Product Manufacturing
332212,Hand and Edge Tool Manufacturing
332510,Hardware Manufacturing
423710,Hardware Merchant Wholesalers
444130,Hardware Stores
321211,Hardwood Veneer and Plywood Manufacturing
315991,"Hat, Cap, and Millinery Manufacturing"
111940,Hay Farming
562112,Hazardous Waste Collection
562211,Hazardous Waste Treatment and Disposal
525120,Health and Welfare Funds
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
454311,Heating Oil Dealers
336120,Heavy Duty Truck Manufacturing
237310,"Highway, Street, and Bridge Construction"
712120,Historical Sites
621491,HMO Medical Centers
451120,"Hobby, Toy, and Game Stores"
112210,Hog and Pig Farming
811411,Home and Garden Equipment Repair and Maintenance
444110,Home Centers
423220,Home Furnishing Merchant Wholesalers
621610,Home Health Care Services
532291,Home Health Equipment Rental
623312,Homes for the Elderly
112920,Horses and Other Equine Production
721110,Hotels (except Casino Hotels) and Motels
316212,House Slipper Manufacturing
443111,Household Appliance Stores
335221,Household Cooking Appliance Manufacturing
337125,Household Furniture (except Wood and Metal) Manufacturing
335224,Household Laundry Equipment Manufacturing
335222,Household Refrigerator and Home Freezer Manufacturing
335212,Household Vacuum Cleaner Manufacturing
541612,Human Resources Consulting Services
813311,Human Rights Organizations
114210,Hunting and Trapping
221111,Hydroelectric Power Generation
311520,Ice Cream and Frozen Dessert Manufacturing
312113,Ice Manufacturing
325413,In-Vitro Diagnostic Substance Manufacturing
711510,"Independent Artists, Writers, and Performers"
333412,Industrial and Commercial Fan and Blower Manufacturing
424130,Industrial and Personal Service Paper Merchant Wholesalers
236210,Industrial Building Construction
541420,Industrial Design Services
325120,Industrial Gas Manufacturing
812332,Industrial Launderers
423830,Industrial Machinery and Equipment Merchant Wholesalers
333511,Industrial Mold Manufacturing
332997,Industrial Pattern Manufacturing
333994,Industrial Process Furnace and Oven Manufacturing
212322,Industrial Sand Mining
423840,Industrial Supplies Merchant Wholesalers
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
332911,Industrial Valve Manufacturing
315291,Infants' Cut and Sew Apparel Manufacturing
483211,Inland Water Freight Transportation
483212,Inland Water Passenger Transportation
325131,Inorganic Dye and Pigment Manufacturing
337127,Institutional Furniture Manufacturing
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial"
524210,Insurance Agencies and Brokerages
512220,Integrated Record Production/Distribution
541410,Interior Design Services
928120,International Affairs
522293,International Trade Financing
519130,Internet Publishing and Broadcasting and Web Search Portals
485210,Interurban and Rural Bus Transportation
561611,Investigation Services
523930,Investment Advice
523110,Investment Banking and Securities Dealing
332111,Iron and Steel Forging
331111,Iron and Steel Mills
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
331511,Iron Foundries
212210,Iron Ore Mining
334517,Irradiation Apparatus Manufacturing
561720,Janitorial Services
339913,Jewelers' Material and Lapidary Work Manufacturing
339911,Jewelry (except Costume) Manufacturing
448310,Jewelry Stores
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
611210,Junior Colleges
212324,Kaolin and Ball Clay Mining
621492,Kidney Dialysis Centers
332214,"Kitchen Utensil, Pot, and Pan Manufacturing"
813930,Labor Unions and Similar Labor Organizations
322225,Laminated Aluminum Foil Manufacturing for Flexible Packaging Uses
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
237210,Land Subdivision
541320,Landscape Architectural Services
561730,Landscaping Services
611630,Language Schools
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
212231,Lead Ore and Zinc Ore Mining
339942,Lead Pencil and Art Good Manufacturing
316110,Leather and Hide Tanning and Finishing
922130,Legal Counsel and Prosecution
921120,Legislative Bodies
531130,Lessors of Miniwarehouses and Self-Storage Units
533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)
531120,Lessors of Nonresidential Buildings (except Miniwarehouses)
531190,Lessors of Other Real Estate Property
531110,Lessors of Residential Buildings and Dwellings
519120,Libraries and Archives
336112,Light Truck and Utility Vehicle Manufacturing
327410,Lime Manufacturing
722211,Limited-Service Restaurants
485320,Limousine Service
482111,Line-Haul Railroads
812331,Linen Supply
454312,Liquefied Petroleum Gas (Bottled Gas) Dealers
424520,Livestock Merchant Wholesalers
492210,Local Messengers and Local Delivery
561622,Locksmiths
113310,Logging
448320,Luggage and Leather Goods Stores
316991,Luggage Manufacturing
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
332710,Machine Shops
333512,Machine Tool (Metal Cutting Types) Manufacturing
333513,Machine Tool (Metal Forming Types) Manufacturing
334613,Magnetic and Optical Recording Media Manufacturing
454113,Mail-Order Houses
311213,Malt Manufacturing
323116,Manifold Business Forms Printing
453930,Manufactured (Mobile) Home Dealers
321991,Manufactured Home (Mobile Home) Manufacturing
713930,Marinas
488320,Marine Cargo Handling
541613,Marketing Consulting Services
541910,Marketing Research and Public Opinion Polling
339943,Marking Device Manufacturing
238140,Masonry Contractors
562920,Materials Recovery Facilities
337910,Mattress Manufacturing
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
333913,Measuring and Dispensing Pump Manufacturing
424470,Meat and Meat Product Merchant Wholesalers
445210,Meat Markets
311612,Meat Processed from Carcasses
333613,Mechanical Power Transmission Equipment Manufacturing
541830,Media Buying Agencies
541840,Media Representatives
621511,Medical Laboratories
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
325411,Medicinal and Botanical Manufacturing
424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers
315211,Men's and Boys' Cut and Sew Apparel Contractors
315228,Men's and Boys' Cut and Sew Other Outerwear Manufacturing
315223,Men's and Boys' Cut and Sew Shirt (except Work Shirt) Manufacturing
315222,"Men's and Boys' Cut and Sew Suit, Coat, and Overcoat Manufacturing"
315224,"Men's and Boys' Cut and Sew Trouser, Slack, and Jean Manufacturing"
315221,Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing
315225,Men's and Boys' Cut and Sew Work Clothing Manufacturing
315993,Men's and Boys' Neckwear Manufacturing
448110,Men's Clothing Stores
316213,Men's Footwear (except Athletic) Manufacturing
332431,Metal Can Manufacturing
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
332811,Metal Heat Treating
337124,Metal Household Furniture Manufacturing
423510,Metal Service Centers and Other Metal Merchant Wholesalers
332116,Metal Stamping
332420,Metal Tank (Heavy Gauge) Manufacturing
332321,Metal Window and Door Manufacturing
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing"
327993,Mineral Wool Manufacturing
333131,Mining Machinery and Equipment Manufacturing
523999,Miscellaneous Financial Investment Activities
523910,Miscellaneous Intermediation
485111,Mixed Mode Transit Systems
722330,Mobile Food Services
521110,Monetary Authorities - Central Bank
522310,Mortgage and Nonmortgage Loan Brokers
512120,Motion Picture and Video Distribution
512110,Motion Picture and Video Production
512131,Motion Picture Theaters (except Drive-Ins)
335312,Motor and Generator Manufacturing
336213,Motor Home Manufacturing
336391,Motor Vehicle Air-Conditioning Manufacturing
336211,Motor Vehicle Body Manufacturing
336340,Motor Vehicle Brake System Manufacturing
336370,Motor Vehicle Metal Stamping
423140,Motor Vehicle Parts (Used) Merchant Wholesalers
336360,Motor Vehicle Seating and Interior Trim Manufacturing
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers
488410,Motor Vehicle Towing
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing
441221,"Motorcycle, ATV, and Personal Watercraft Dealers"
336991,"Motorcycle, Bicycle, and Parts Manufacturing"
712110,Museums
111411,Mushroom Production
512230,Music Publishers
711130,Musical Groups and Artists
451140,Musical Instrument and Supplies Stores
339992,Musical Instrument Manufacturing
812113,Nail Salons
313221,Narrow Fabric Mills
928110,National Security
221210,Natural Gas Distribution
211112,Natural Gas Liquid Extraction
712190,Nature Parks and Other Similar Institutions
488330,Navigational Services to Shipping
441110,New Car Dealers
236117,New Housing Operative Builders
236116,New Multifamily Housing Construction (except Operative Builders)
236115,New Single-Family Housing Construction (except Operative Builders)
451212,News Dealers and Newsstands
519110,News Syndicates
511110,Newspaper Publishers
322122,Newsprint Mills
325311,Nitrogenous Fertilizer Manufacturing
325222,Noncellulosic Organic Fiber Manufacturing
311340,Nonchocolate Confectionery Manufacturing
327125,Nonclay Refractory Manufacturing
335932,Noncurrent-Carrying Wiring Device Manufacturing
331522,Nonferrous (except Aluminum) Die-Casting Foundries
332112,Nonferrous Forging
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
322215,Nonfolding Sanitary Food Container Manufacturing
531312,Nonresidential Property Managers
481212,Nonscheduled Chartered Freight Air Transportation
481211,Nonscheduled Chartered Passenger Air Transportation
337122,Nonupholstered Wood Household Furniture Manufacturing
313230,Nonwoven Fabric Mills
221113,Nuclear Electric Power Generation
111421,Nursery and Tree Production
444220,"Nursery, Garden Center, and Farm Supply Stores"
623110,Nursing Care Facilities
561110,Office Administrative Services
423420,Office Equipment Merchant Wholesalers
337214,Office Furniture (except Wood) Manufacturing
532420,Office Machinery and Equipment Rental and Leasing
333313,Office Machinery Manufacturing
453210,Office Supplies and Stationery Stores
621399,Offices of All Other Miscellaneous Health Practitioners
551111,Offices of Bank Holding Companies
541211,Offices of Certified Public Accountants
621310,Offices of Chiropractors
621210,Offices of Dentists
541110,Offices of Lawyers
621330,Offices of Mental Health Practitioners (except Physicians)
541120,Offices of Notaries
621320,Offices of Optometrists
551112,Offices of Other Holding Companies
621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists"
621111,Offices of Physicians (except Mental Health Specialists)
621112,"Offices of Physicians, Mental Health Specialists"
621391,Offices of Podiatrists
531210,Offices of Real Estate Agents and Brokers
531320,Offices of Real Estate Appraisers
333132,Oil and Gas Field Machinery and Equipment Manufacturing
237120,Oil and Gas Pipeline and Related Structures Construction
111120,Oilseed (except Soybean) Farming
111191,Oilseed and Grain Combination Farming
812922,One-Hour Photofinishing
525910,Open-End Investment Funds
339115,Ophthalmic Goods Manufacturing
423460,Ophthalmic Goods Merchant Wholesalers
446130,Optical Goods Stores
333314,Optical Instrument and Lens Manufacturing
111310,Orange Groves
332323,Ornamental and Architectural Metal Work Manufacturing
541219,Other Accounting Services
522390,Other Activities Related to Credit Intermediation
531390,Other Activities Related to Real Estate
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
488119,Other Airport Operations
331319,Other Aluminum Rolling and Drawing
311119,Other Animal Food Manufacturing
315999,Other Apparel Accessories and Other Apparel Manufacturing
112519,Other Aquaculture
811118,Other Automotive Mechanical and Electrical Repair and Maintenance
